name_of_drug,use_case_for_drug,review_by_patient
Efudex,Skin Cance,"""At 65yo and lifetime in the sun and numerous treatments including surgery, cryotherapy etc Doctor said will have to use Efudix to whole face as had untold AK&#039;s plus Bowens Disease. Told it was a &#039;&#039;brutal&#039;&#039; treatment. He was right.
All I can say is that this treatment was the most painfull experience in my life. By week two I was in agony but forced myself to continue the three week treatment. A word of warning. Under no circumstances get this stuff on your genitals. I did and it was agonising. Pain so intense sent me into depression for 3 months. Results were excellent however and no regrets."""
MiraLax,Constipation,"""After major surgery in 2010 my doctor told me to start using Miralax. I have used it daily every day since then. I was told to never strain during a bm again. Along with is this I eat 25 grams of fiber in my cereal every morning, a serving of prunes (7), one 5 gram of fiber protein bar, 2 fiber capsules, and drink 6-8 glasses of water ever day and finish the day with an apple for the pectin. And I cannot stop any of these items or I have problems. I do not have any blockages and have a colonoscopy every 3 years. Miralax places an important part and my doctor has no issues with me continuing to take it."""
Topiramate,Migraine Prevention,"""We tried this for my daughter when she suddenly started getting migraines every day. Migraines down to 2 per week and less severe but when we tried increasing the dose side effects became intolerable: doesn&#039;t help her sleep at night yet makes her very tired all day, have to force her to eat, her legs tingle all the way up to her hip. She also has nightmares,  and vivid dreams, even during the day. That was the last straw and we&#039;ll be trying something else. Real shame because we think it was helping."""
Alprazolam,Panic Disorde,"""If I could give Xanax more stars, I would. I have Panic Disorder and during college, panic disorder with mild Agoraphobia. After being prescribed Xanax, whenever I felt the onset of a panic attack emerging, this medication would save me from spiraling into a cycle of uncontrolled panic.My agoraphobia is gone. I would only recommend taking it as needed. I couldn&#039;t be happier with my results and I can live a normal life knowing I have my &#039;security blanket&#039; if I need it."""
Colesevelam,High Cholesterol,"""I suffered severe diarrhea for many months after gall bladder removal (due to lipid &quot;dumping&quot;), until my doctor prescribed a similar medicine that worked great, but it was a powder which was inconvenient, so he switched me to Welchol which also worked great. The prescription was for 6 pills a day but I never needed that many unless I ate something ridiculously greasy and fatty for every meal, say, fried chicken with french fries and a shake. Otherwise, I just took 1 pill before lunch and 1 before dinner. None needed with breakfast because I just had fruit and skim milk.  After about 8 years, my body adjusted to &quot;no gall bladder&quot; but this medicine helped me be able to keep a job and get out of the house away from the bathroom until then."""
Simponi,Rheumatoid Arthritis,"""I started Simponi  Approx 1 year ago.  I was first on methotrexate for about a year but developed a really bad cough and scarring on lungs.  I then was put on Remicade which took away every pain I had but on third infusion, I had an allergic reaction so I had to be taken off.  Now I am on Simponi and by the third infusion, I have had no pain at all and no side effects.  I am on Medicare which pays for 80% and my UHC which pays the 20%...so I feel really lucky."""
Cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,HIV Infection,"""Switched to Genvoya from eviplera.  Wish i  had of switched a lot sooner. Its only been a week but i feel and look so much better. More energy and less tired looking. Very happy."""
Bupropion,Obesity,"""I&#039;ve been on wellbutrin for a few years, for my mental health. It seems to work well. But the dry mouth is bad, I&#039;ve cut back on smoking a lot! But I have gained 50 lbs, I think it&#039;s more from the celexa I take for a mood stabilizer tho. Would love to go off the celexa!"""
Treximet,Migraine,"""I am 30 and have had migraines since I was 14. My head has always hurt (to the touch) the day after a migraine. I did not experience that after taking Treximet nor did I have any side effects. I absolutely love this medicine."""
Bupropion / naltrexone,Weight Loss,"""Well I was on contrave for 5 weeks, I did loose weight but wound up having to have gall bladder surgery because it gave me gallstones. I was miserable and tired on this medicine."""
Latuda,Bipolar Disorde,"""My psych started me on latuda about 6 days ago. I am 32 years old and have suffered from manic bipolar depression for many years. Also with a touch of OCD and severe anxiety. Before latuda I was on ativan for my anxiety. My Dr started me on 40 mg of Latuda and the obvious side effect of nausea did come. But its rather tolerable. My Dr told me there&#039;s a trick. Take it after dinner. 
After a couple days I have begun to get terrible restless leg syndrome. Talked to my Dr and he put me on klonopin to take 1 hour after latuda. Last night it didn&#039;t work. 
Overall, my mood is still wishy washy. I am however getting up and doing more. With my depression I haven&#039;t been active in sex with my husband as much neither. Let&#039;s hope that changes as well."""
Pentosan polysulfate sodium,Interstitial Cystitis,"""This medicine has saved me from living in pain with bladder spasms. I have taken it 3 times a day for 10+plus years. It took a few weeks to start helping me but over all these years it works for me. I thank God that there is a medicine that keeps me from hurting every single day due to bladder spasms. It really is unfair there isn&#039;t a generic for this medicine after all it was on the market since 1996. I live with this condition for years without knowing why I was hurting like I had a UTI every month. Come on a make this drug cheaper and stop charging such ridiculously high prices. Shame on whoever is blocking this drug from becoming a generic."""
Ethinyl estradiol / etonogestrel,Birth Control,"""I am a 24 year old, and have been on birth control since grade 10 (16 years old). I have been on all hormonal birth controls there are. My favorite BY FAR is the Nuvaring, my side effects are minimal and include general birth control side effects such as thickening mucous and bloating. I am not moody nor has it made me gain weight. Compared to other birth control the needle (Depo) made me bloated and cranky and I felt very uncomfortable, the patch was alright. I was not a fan of having it stuck to my body for a week at a time but it would be my second favorite. The pill (minus taking it everyday being a pain in the ass) Ortho Tri-Cyclen made me sick after the first pill in each pack, and Yaz I found gave me no side effects but increased breast size."""
